Country/Region,Continent,Population,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,WHO Region
USA,North America,331510437,7667817,30905,214884,273,4874445,25407,2578488,14200,23130,648,112261589,338637,Americas
India,Asia,1383530375,6682073,59893,103600,886,5659110,75657,919363,8944,4830,75,79982394,57810,South-EastAsia
Brazil,South America,212953890,4918022,2733,146417,42,4263208,,508397,8318,23094,688,17900000,84056,Americas
Russia,Europe,145950977,1225889,10888,21475,117,982324,3181,222090,2300,8399,147,48042343,329168,Europe
Colombia,South America,51023638,855052,,26712,,761674,,66666,2220,16758,524,3894289,76323,Americas
Spain,Europe,46759558,852838,2099,32225,46,,,,1580,18239,689,13689776,292770,Europe
Peru,South America,33090379,828169,,32742,,706223,,89204,1287,25027,989,3952298,119439,Americas
Argentina,South America,45303674,798486,,21018,,636672,,140796,3950,17625,464,2064250,45565,Americas
Mexico,North America,129284391,761665,3712,79088,208,550053,4523,132524,2401,5891,612,2003141,15494,Americas
South Africa,Africa,59502099,682215,926,17016,40,615684,903,49515,539,11465,286,4280340,71936,Africa
France,Europe,65311522,624274,5084,32299,69,98680,902,493295,1415,9558,495,11616000,177855,Europe
UK,Europe,67979397,515571,12594,42369,19,,,,368,7584,623,25865851,380495,Europe
Iran,Asia,84270921,475674,3902,27192,235,392293,2327,56189,4167,5645,323,4151445,49263,EasternMediterranean
Chile,South America,19158936,471746,1567,13037,58,443453,1383,15256,853,24623,680,3502751,182826,Americas
Iraq,Asia,40451877,382949,3808,9464,65,312158,4676,61327,556,9467,234,2371348,58621,EasternMediterranean
Bangladesh,Asia,165115692,370132,1442,5375,27,283182,1526,81575,,2242,33,2001431,12121,South-EastAsia
Saudi Arabia,Asia,34953378,336766,379,4898,23,322055,570,9813,938,9635,140,6725148,192403,EasternMediterranean
Italy,Europe,60438292,327586,2257,36002,16,232681,767,58903,323,5420,596,11844346,195974,Europe
Turkey,Asia,84574545,326046,1603,8498,57,286370,1320,31178,1412,3855,100,10931917,129258,Europe
Philippines,Asia,109957856,324762,2291,5840,64,273123,87,45799,1758,2954,53,3914732,35602,WesternPacific
Pakistan,Asia,221988411,315260,644,6517,4,299836,868,8907,515,1420,29,3678534,16571,EasternMediterranean
Indonesia,Asia,274274332,307120,3622,11253,102,232593,4140,63274,,1120,41,3515165,12816,South-EastAsia
Germany,Europe,83854334,304636,3065,9616,14,263700,1800,31320,447,3633,115,16999253,202724,Europe
Israel,Asia,9197590,272309,5534,1757,38,204355,8726,66197,880,29607,191,3733880,405963,Europe
Ukraine,Europe,43663726,230236,3774,4430,33,101252,1145,124554,177,5273,101,2382259,54559,Europe
Canada,North America,37828308,167963,1807,9492,11,141660,1417,16811,126,4440,251,7625793,201590,Americas
Ecuador,South America,17712036,141339,305,11681,34,120511,,9147,356,7980,659,455122,25696,Americas
Netherlands,Europe,17144850,140471,4579,6461,7,,,,177,8193,377,2603166,151834,Europe
Romania,Europe,19203449,137491,1591,5048,45,108526,391,23917,592,7160,263,2516746,131057,Europe
Bolivia,South America,11714131,136868,299,8101,28,97547,442,31220,71,11684,692,307040,26211,Americas
Morocco,Africa,37023865,134695,1423,2369,39,113336,2300,18990,457,3638,64,2731907,73788,EasternMediterranean
Belgium,Europe,11602851,130235,2612,10064,20,19679,34,100492,186,11224,867,3402761,293269,Europe
Qatar,Asia,2807805,126692,194,216,,123664,189,2812,59,45121,77,800519,285105,EasternMediterranean
Panama,North America,4332239,115286,,2423,,91809,,21054,110,26611,559,504299,116406,Americas
Dominican Republic,North America,10876171,115054,574,2144,10,90942,576,21968,169,10579,197,496200,45623,Americas
Kazakhstan,Asia,18834863,108236,59,1725,,103277,72,3234,221,5747,92,2973489,157872,Europe
Kuwait,Asia,4286844,107592,567,628,4,99549,509,7415,129,25098,146,761025,177526,EasternMediterranean
Egypt,Africa,102828135,103683,,5981,,97355,,347,41,1008,58,135000,1313,EasternMediterranean
Poland,Europe,37835645,102080,2006,2659,29,73552,549,25869,219,2698,70,3465605,91596,Europe
Oman,Asia,5139449,101814,544,985,8,90600,304,10229,207,19810,192,376700,73296,EasternMediterranean
UAE,Asia,9921338,99733,932,429,3,89410,1287,9894,,10052,43,10220534,1030157,EasternMediterranean
Sweden,Europe,10115730,94283,,5895,,,,,20,9320,583,1661484,164248,Europe
Guatemala,North America,18000398,94182,219,3302,9,82828,374,8052,5,5232,183,338692,18816,Americas
Nepal,Asia,29271074,89263,2440,554,19,65202,1133,23507,,3050,19,1088229,37178,South-EastAsia
Japan,Asia,126373720,85739,400,1599,2,78609,294,5531,131,678,13,2173035,17195,WesternPacific
Czechia,Europe,10714212,83696,1250,757,30,45176,1027,37763,245,7812,71,1457315,136017,Europe
Belarus,Europe,9448502,80696,401,862,5,75303,155,4531,,8541,91,1949656,206346,Europe
Portugal,Europe,10188821,79885,734,2018,13,50454,247,27413,106,7840,198,2647756,259869,Europe
Honduras,North America,9945117,79629,841,2422,23,29305,118,47902,30,8007,244,186350,18738,Americas
Ethiopia,Africa,115684171,79437,618,1230,8,34016,956,44191,292,687,11,1307632,11303,Africa
Costa Rica,North America,5106221,79182,,950,,45007,,33225,213,15507,186,238248,46658,Americas
